index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by,Unnamed: 22
30835,408-4125863-6581125,04-12-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3689,JNE3689-TU-XL,Top,XL,B094FJZ7MZ,Shipped,1,INR,434.0,BALESHWAR,ODISHA,756001.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,
85604,402-8330388-1821137,05-03-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3645,JNE3645-TP-N-M,Top,M,B08ZHSXP1S,Unshipped,1,INR,432.0,CHENNAI,TAMIL NADU,600018.0,IN,,False,,False
75510,406-7843208-1146719,05-10-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3797,JNE3797-KR-XS,Western Dress,XS,B09SDY9SQ6,Shipped,1,INR,771.0,KOLKATA,WEST BENGAL,700046.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U,Amazon PLCC Free-Financing Universal Merchant AAT-R7GXNZWISTRFA,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-URPEBMPS7TSPE,Amazon PLCC Free-Financing Universal Merchant AAT-L2DLP5YGE5766,Amazon PLCC Free-Financing Universal Merchant AAT-ZF7YE6D3FPHMI,Amazon PLCC Free-Financing Universal Merchant AAT-TNYHCYLOWRIHK,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,False
115337,405-3558863-5148363,06-10-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0095,J0095-SET-L,Set,L,B08CMHNWBN,Shipped,1,INR,633.0,RANCHI,JHARKHAND,834002.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-EWAPBB6BDRGM6,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-5SHH3G55USK5C,Amazon PLCC Free-Financing Universal Merchant AAT-AMKH7SAAONETC,Amazon PLCC Free-Financing Universal Merchant AAT-56XNPXK2K7OLI,Amazon PLCC Free-Financing Universal Merchant AAT-DIJISC7JHOVCY,Amazon PLCC Free-Financing Universal Merchant AAT-5QNBXTEQWGXOW,Amazon PLCC Free-Financing Universal Merchant AAT-ZBCRDPHJI4UDO,Amazon PLCC Free-Financing Universal Merchant AAT-CMBNOJYSQPOPS,Amazon PLCC Free-Financing Universal Merchant AAT-IBN3WODYJ44YC,Amazon PLCC Free-Financing Universal Merchant AAT-W2F65W44TEYES,Amazon PLCC Free-Financing Universal Merchant AAT-ZBGDWJCP6BTLE,Amazon PLCC Free-Financing Universal Merchant AAT-BOWEMQBNNNHBK,Amazon PLCC Free-Financing Universal Merchant AAT-SKYXW7T3UZBGO,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,False
93752,408-7358545-4912311,06-27-22,Shipped - Picked Up,Merchant,Amazon.in,Standard,J0379,J0379-SKD-L,Set,L,B09M6WZX2J,Shipped,1,INR,1301.0,Rajkot,Gujarat,360005.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-EWAPBB6BDRGM6,Amazon PLCC Free-Financing Universal Merchant AAT-WSJLDN3X7KEMO,Amazon PLCC Free-Financing Universal Merchant AAT-VL6FGQVGQVXUS,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-NT3ZJJGQ3JK3Q,Amazon PLCC Free-Financing Universal Merchant AAT-5SHH3G55USK5C,Amazon PLCC Free-Financing Universal Merchant AAT-6XVEGAWJUJYXG,Amazon PLCC Free-Financing Universal Merchant AAT-5QNBXTEQWGXOW,Amazon PLCC Free-Financing Universal Merchant AAT-BOWEMQBNNNHBK,Amazon PLCC Free-Financing Universal Merchant AAT-ONHQI6RQUNGB6,Amazon PLCC Free-Financing Universal Merchant AAT-UFMRPWCRGE2ZM,Amazon PLCC Free-Financing Universal Merchant AAT-SF4YGC5K3O574,Amazon PLCC Free-Financing Universal Merchant AAT-SUBB5QVZKACYG,Amazon PLCC Free-Financing Universal Merchant AAT-CF5ZF57364I7G,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,False
8295,406-4749707-5293159,04-25-22,Shipped,Amazon,Amazon.in,Expedited,JNE3618,JNE3618-KR-L,kurta,L,B091Q84CBF,Shipped,1,INR,399.0,PUNE,MAHARASHTRA,411015.0,IN,,False,,
64365,402-6637398-9528340,05-19-22,Shipped,Amazon,Amazon.in,Expedited,J0097,J0097-KR-XL,kurta,XL,B08BJSHTNG,Shipped,1,INR,568.0,new delhi,DELHI,110029.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,False
58845,406-0539331-3285105,05-24-22,Cancelled,Amazon,Amazon.in,Expedited,J0395,J0395-DR-XL,Western Dress,XL,B09SDXLD4C,Unshipped,1,INR,859.0,MUMBAI,MAHARASHTRA,400003.0,IN,,False,,False
23971,171-9264436-8793941,04-16-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0003,J0003-SET-M,Set,M,B0894XH3LN,Shipped,1,INR,654.0,Hyderabad,TELANGANA,500050.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-WSJLDN3X7KEMO,Amazon PLCC Free-Financing Universal Merchant AAT-VL6FGQVGQVXUS,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-ACZIPIA37BFIY,Amazon PLCC Free-Financing Universal Merchant AAT-4UKS7UWZY3AES,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-XX7G3ZRJJJ5LG,Amazon PLCC Free-Financing Universal Merchant AAT-LEHCKNDBJG64E,Amazon PLCC Free-Financing Universal Merchant AAT-DJVHCEV7D7RQY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,
87883,403-0080927-7436338,05-02-22,Shipped,Amazon,Amazon.in,Expedited,J0154,J0154-DR-XXL,Western Dress,XXL,B08V19DZ36,Shipped,1,INR,377.0,GHAZIABAD,UTTAR PRADESH,201017.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,False
41678,407-7929169-2748324,04-05-22,Shipped,Amazon,Amazon.in,Expedited,J0001,J0001-DR-L,Ethnic Dress,L,B0894XPW4B,Shipped,1,INR,690.0,THANE dist,MAHARASHTRA,401105.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
35047,405-0307815-6877962,04-09-22,Shipped,Amazon,Amazon.in,Expedited,JNE3817,JNE3817-KR-S,kurta,S,B09LV1KQS1,Shipped,1,INR,474.0,BHUNTAR,HIMACHAL PRADESH,175126.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
27589,402-2471908-4870709,04-14-22,Shipped,Amazon,Amazon.in,Expedited,SET344,SET344-KR-NP-M,Set,M,B09QJ3YSPB,Shipped,1,INR,968.0,Jhansi,UTTAR PRADESH,284128.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
91848,408-6446741-8331559,06-28-22,Shipped,Amazon,Amazon.in,Expedited,SET293,SET293-KR-NP-M,Set,M,B09K3LJWBB,Shipped,1,INR,789.0,CHENNAI,TAMIL NADU,600073.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,False
84440,405-2248921-5136357,05-04-22,Shipped,Amazon,Amazon.in,Expedited,JNE1525,JNE1525-KR-UDF19-A-L,kurta,L,B0743G8MB8,Shipped,1,INR,311.0,BENGALURU,KARNATAKA,560084.0,IN,,False,,False
